title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
m 7.3 - nepal,7.3,2015-12-05 07:05:00,8,7,orange,0,1563,us,0,0.677,11.0,mww,15.0,27.8087,86.0655,nepal,nepal
"m 7.1 - 143 km sw of panguna, papua new guinea",7.1,2015-07-05 07:10:00,1,6,green,1,776,us,0,3.835,11.0,mww,10.0,-7.2175,154.557,"panguna, papua new guinea",unknown
"m 7.5 - 131 km ssw of kokopo, papua new guinea",7.5,2015-05-05 01:44:00,7,8,green,1,869,us,0,1.295,22.0,mww,55.0,-5.4624,151.875,"kokopo, papua new guinea",papua new guinea
"m 6.8 - 109 km ssw of kokopo, papua new guinea",6.8,2015-01-05 08:06:00,5,6,green,1,714,us,0,1.074,23.0,mww,44.0,-5.2005,151.777,"kokopo, papua new guinea",papua new guinea
"m 6.7 - 126 km ssw of kokopo, papua new guinea",6.7,2015-04-30 10:45:00,5,6,green,1,692,us,0,1.239,12.0,mww,31.0,-5.375,151.771,"kokopo, papua new guinea",papua new guinea
"m 6.7 - 21 km sse of kod?ri??, nepal",6.7,2015-04-26 07:09:00,7,7,yellow,0,1016,us,0,0.727,13.0,mww,22.91,27.7711,86.0173,"kod?ri??, nepal",nepal
"m 6.6 - 71 km nne of bharatpur, nepal",6.6,2015-04-25 06:45:00,8,7,yellow,0,733,us,0,1.778,16.0,mww,10.0,28.2244,84.8216,"bharatpur, nepal",nepal
"m 7.8 - 67 km nne of bharatpur, nepal",7.8,2015-04-25 06:11:00,8,9,red,0,2820,us,0,1.857,12.0,mww,8.22,28.2305,84.7314,"bharatpur, nepal",nepal
"m 6.5 - 181 km ssw of alo, wallis and futuna",6.5,2015-04-17 15:52:00,0,5,green,1,650,us,0,3.702,42.0,mww,10.0,-15.8815,-178.6,"alo, wallis and futuna",unknown
"m 6.5 - 96 km ene of hihifo, tonga",6.5,2015-03-30 08:48:00,2,5,green,1,650,us,0,4.629,36.0,mww,11.0,-15.4994,-173.029,"hihifo, tonga",unknown
"m 7.5 - 53 km se of kokopo, papua new guinea",7.5,2015-03-29 23:48:00,6,7,green,1,872,us,0,0.666,19.0,mww,41.0,-4.7294,152.562,"kokopo, papua new guinea",papua new guinea
"m 7.0 - 150 km nne of maumere, indonesia",7.0,2015-02-27 13:45:00,4,6,green,0,760,us,0,1.362,12.0,mww,552.06,-7.2968,122.535,"maumere, indonesia",indonesia
"m 6.7 - 83 km ene of miyako, japan",6.7,2015-02-16 23:06:00,5,5,green,1,714,us,0,1.925,20.0,mww,23.0,39.8558,142.881,"miyako, japan",unknown
"m 6.7 - 103 km w of el aguilar, argentina",6.7,2015-11-02 18:57:00,4,6,green,1,700,us,0,2.11,16.0,mww,223.0,-23.1125,-66.688,"el aguilar, argentina",argentina
"m 6.8 - 81 km nne of port-vila, vanuatu",6.8,2015-01-23 03:47:00,1,4,green,1,711,us,0,2.019,13.0,mww,219.96,-17.0309,168.52,"port-vila, vanuatu",vanuatu
"m 6.5 - 236 km s of punta de burica, panama",6.5,2015-07-01 05:07:00,1,4,green,1,650,us,0,4.318,61.0,mww,8.0,5.9045,-82.6576,"punta de burica, panama",unknown
"m 6.6 - 22 km ese of punta de burica, panama",6.6,2014-08-12 08:54:00,7,6,green,1,709,us,0,2.485,43.0,mww,20.0,7.9401,-82.6865,"punta de burica, panama",panama
"m 6.6 - 115 km w of panguna, papua new guinea",6.6,2014-07-12 01:22:00,1,5,green,1,670,us,0,3.246,12.0,mww,23.0,-6.5108,154.46,"panguna, papua new guinea",unknown
"m 6.6 - 106 km wsw of sangay, philippines",6.6,2014-02-12 05:11:00,1,3,green,0,670,us,0,2.6,9.0,mww,614.0,6.1572,123.126,"sangay, philippines",philippines
"m 6.8 - 157 km nw of ternate, indonesia",6.8,2014-11-26 14:33:00,6,5,green,1,713,us,0,1.421,19.0,mww,39.0,1.9604,126.575,"ternate, indonesia",indonesia
"m 6.5 - 123 km wnw of tobelo, indonesia",6.5,2014-11-21 10:10:00,5,5,green,1,652,us,0,1.549,9.0,mww,35.0,2.2999,127.056,"tobelo, indonesia",indonesia
"m 6.7 - 183 km ne of gisborne, new zealand",6.7,2014-11-16 22:33:00,7,4,green,1,698,us,0,1.079,25.0,mww,22.0,-37.6478,179.662,"gisborne, new zealand",unknown
"m 7.1 - 155 km nw of ternate, indonesia",7.1,2014-11-15 02:31:00,4,6,green,1,779,us,0,1.397,18.0,mww,45.0,1.8929,126.522,"ternate, indonesia",indonesia
"m 6.6 - 76 km ne of finschhafen, papua new guinea",6.6,2014-07-11 03:33:00,2,6,green,1,671,us,0,3.557,13.0,mww,53.19,-5.9873,148.232,"finschhafen, papua new guinea",papua new guinea
m 7.1 - fiji region,7.1,2014-01-11 18:57:00,3,6,green,1,776,us,0,4.415,13.0,mww,434.0,-19.6903,-177.759,fiji region,unknown
"m 7.3 - 74 km s of intipucá, el salvador",7.3,2014-10-14 03:51:00,8,6,yellow,1,982,us,0,1.078,18.0,mww,40.0,12.5262,-88.1225,"intipucá, el salvador",unknown
"m 6.7 - 43 km nw of piti village, guam",6.7,2014-09-17 06:14:00,5,5,green,1,724,us,0,0.46,11.0,mww,130.0,13.7641,144.429,"piti village, guam",unknown
"m 6.8 - 38 km nw of aniso, peru",6.8,2014-08-24 23:21:00,6,6,green,1,741,us,0,4.107,18.0,mww,101.0,-14.598,-73.5714,"aniso, peru",peru
m 6.9 - federated states of micronesia region,6.9,2014-03-08 00:22:00,0,4,green,1,732,us,0,6.393,12.0,mww,13.0,0.8295,146.169,micronesia region,unknown
m 6.9 - fiji region,6.9,2014-07-21 14:54:00,0,6,green,1,732,us,0,3.934,15.0,mww,615.42,-19.8015,-178.4,fiji region,fiji
"m 6.5 - 139 km ese of namie, japan",6.5,2014-11-07 19:22:00,5,4,green,1,706,us,0,2.421,9.0,mww,20.0,37.0052,142.452,"namie, japan",unknown
"m 6.9 - 4 km w of puerto madero, mexico",6.9,2014-07-07 11:23:00,8,7,orange,1,1079,us,0,0.263,51.0,mww,53.0,14.724,-92.4614,"puerto madero, mexico",mexico
"m 6.5 - 217 km sse of kokopo, papua new guinea",6.5,2014-04-07 15:00:00,0,4,green,1,650,us,0,2.124,15.0,mww,20.0,-6.2304,152.807,"kokopo, papua new guinea",unknown
"m 6.7 - 201 km sse of mata-utu, wallis and futuna",6.7,2014-06-29 17:15:00,0,5,green,1,691,us,0,6.713,45.0,mww,18.0,-14.9831,-175.51,"mata-utu, wallis and futuna",unknown
m 6.9 - south sandwich islands region,6.9,2014-06-29 07:52:00,0,5,green,1,732,us,0,4.838,25.0,mww,8.0,-55.4703,-28.3669,south sandwich islands region,unknown
"m 7.9 - rat islands, aleutian islands, alaska",7.9,2014-06-23 20:53:00,6,8,green,1,963,us,0,0.133,22.0,mww,109.0,51.8486,178.735,"rat islands, aleutian islands, alaska",united states of america
"m 6.7 - kermadec islands, new zealand",6.7,2014-06-23 20:06:00,0,5,green,0,691,us,0,0.748,43.0,mwc,26.59,-29.9414,-177.607,"kermadec islands, new zealand",unknown
"m 6.5 - kermadec islands, new zealand",6.5,2014-06-23 19:21:00,0,5,green,0,650,us,0,0.778,30.0,mwc,10.0,-29.9379,-177.516,"kermadec islands, new zealand",unknown
"m 6.9 - kermadec islands, new zealand",6.9,2014-06-23 19:19:00,0,5,green,1,732,us,0,0.751,35.0,mww,20.0,-29.9772,-177.725,"kermadec islands, new zealand",unknown
